rep;inc.bloco;gen;prod;row;col
1;1;G11;41.172;4;1
1;1;G04;44.461;3;1
1;1;G05;58.757;2;1
1;1;G22;45.784;1;1
1;2;G21;4.654;4;2
1;2;G10;41.736;3;2
1;2;G20;40.141;2;2
1;2;G02;4.335;1;2
1;3;G23;42.323;4;3
1;3;G14;47.572;3;3
1;3;G16;44.906;2;3
1;3;G18;39.737;1;3
1;4;G13;4.253;4;4
1;4;G03;3.342;3;4
1;4;G19;47.269;2;4
1;4;G08;49.989;1;4
1;5;G17;47.876;4;5
1;5;G15;50.902;3;5
1;5;G07;41.505;2;5
1;5;G01;51.202;1;5
1;6;G06;47.085;4;6
1;6;G12;5.256;3;6
1;6;G24;49.577;2;6
1;6;G09;33.986;1;6
2;1;G08;39.926;4;7
2;1;G20;36.056;3;7
2;1;G14;45.294;2;7
2;1;G04;43.599;1;7
2;2;G24;39.039;4;8
2;2;G15;49.114;3;8
2;2;G03;37.999;2;8
2;2;G23;43.042;1;8
2;3;G12;53.127;4;9
2;3;G11;51.163;3;9
2;3;G21;53.802;2;9
2;3;G17;50.744;1;9
2;4;G05;51.202;4;10
2;4;G09;42.955;3;10
2;4;G10;49.057;2;10
2;4;G01;57.161;1;10
2;5;G02;51.566;4;11
2;5;G18;50.988;3;11
2;5;G13;5.484;2;11
2;5;G22;50.969;1;11
2;6;G19;53.148;4;12
2;6;G07;46.297;3;12
2;6;G06;51.751;2;12
2;6;G16;53.024;1;12
3;1;G11;39.205;4;13
3;1;G01;46.512;3;13
3;1;G14;43.887;2;13
3;1;G19;45.552;1;13
3;2;G02;4.051;4;14
3;2;G15;46.783;3;14
3;2;G09;31.407;2;14
3;2;G08;39.821;1;14
3;3;G17;43.234;4;15
3;3;G18;42.486;3;15
3;3;G04;4.396;2;15
3;3;G06;42.474;1;15
3;4;G12;41.746;4;16
3;4;G13;47.512;3;16
3;4;G10;40.875;2;16
3;4;G23;38.721;1;16
3;5;G21;4.413;4;17
3;5;G22;42.397;3;17
3;5;G16;43.852;2;17
3;5;G24;35.655;1;17
3;6;G03;28.873;4;18
3;6;G05;41.972;3;18
3;6;G20;37.349;2;18
3;6;G07;36.096;1;18
